;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Bairro;Rota;Setor;Cep Destinatário;
JARDIM ALEGRIA ;2033;FRANCISCO MORATO;7985030;
SITIO ITABERABA;2030;REGIAO 23 S.PAULO X;5270000;
PARQUE RESIDENC;2054;REGIAO 9 SAO PAULO I (2) - B;4849210;
RESIDENCIAL ALT;0;S.JOSE DO RIO PRETO;15055882;
CENTRO         ;2234;PEDERNEIRAS;17280055;
VILA SOUTO     ;2231;BAURU;17051170;
JD PRIMAVERA   ;213;LEME;13616140;
JARDIM BOA VIST;0;GUARIBA;14842290;
VALE DO REDENTO;683;SAO JOSE DO RIO PARDO;13720000;
CENTRO         ;2220;PRESIDENTE VENCESLAU;19400055;
JARDIM GUAIANAZ;2073;REGIAO 22 S.PAULO V;8431221;
PARQUE BOTURUSS;2095;REGIAO 18 S.PAULO R;3805010;
VILA NOVA CURUC;2098;REGIAO 22 S.PAULO V;8032000;
VL JACUI       ;2098;REGIAO 22 S.PAULO V;8062520;
VILA AMERICANA ;2098;REGIAO 22 S.PAULO V;8020000;
PARQUE PAULISTA;2098;REGIAO 22 S.PAULO V;8080240;
VILA CARMELA I ;2091;GUARULHOS B;7178450;
JARDIM NOVA CON;2207;TAPIRAI;18182060;
VL BARAO       ;256;PIQUETE;12620000;
VILA DAS MERCES;2060;REGIAO 4 SAO PAULO D;4160130;
VILA GRANADA   ;2095;REGIAO 18 S.PAULO R;3654050;
CHACARA SANTANA;2053;REGIAO 10 S.PAULO J (3);5831000;
JARDIM MONTE CR;2076;SUZANO;8620350;
CIDADE NAUTICA ;268;SAO VICENTE;11355020;
VILA OZORIO    ;236;ITARARE;18462022;
IPIRANGA       ;0;RIBEIRAO PRETO;14055564;
VILA JOSE BONIF;0;ARARAQUARA;14802282;
JARDIM MIRADOR ;2021;VARGEM GDE PAULISTA;6738292;
CANHEMA        ;2082;DIADEMA;9941445;
VILA GUARANI   ;2062;REGIAO 6 SAO PAULO F;4312111;
BAIRRO SANTA CE;2207;PILAR DO SUL;18185000;
CENTRO         ;0;UBARANA;15225019;
SERPA          ;2034;CAIEIRAS;7714510;
VILA SAO BENEDI;258;PINDAMONHANGABA - B;12445260;
JARDIM PALMIRA ;2090;GUARULHOS A;7075120;
JARDIM LUELLA  ;2076;SUZANO;8616330;
VILA CAROLINA  ;2023;REGIAO 20 S.PAULO T 2;2724040;
IPIRANGA       ;0;RIBEIRAO PRETO;14055020;
SITIO PAECARA  ;264;GUARUJA;11461550;
JARDIM ELDORADO;2217;PENAPOLIS;16308244;
VILA PARANAGUA ;2095;REGIAO 18 S.PAULO R;3807290;
PARQUE DAS NACO;2077;SANTO ANDRE A;9230480;
VILA SONIA     ;266;PRAIA GRANDE;11722320;
CIDADE TUPINAMB;2092;GUARULHOS C;7263345;
CENTRO         ;0;UBARANA;15225019;
VISTA ALEGRE   ;2097;BIRITIBA MIRIM;8940000;
FERRAZOPOLIS   ;2081;SAO BERNARDO DO CAMP;9791180;
JARDIM SAO PEDR;2073;REGIAO 22 S.PAULO V;8420620;
VILA ANDRADE   ;2053;REGIAO 10 S.PAULO J (2);5734080;
VILA PARANAGUA ;2095;REGIAO 18 S.PAULO R;3807090;
JARDIM NOVA CID;2092;GUARULHOS C;7252490;
JARDIM IRIS    ;2037;REGIAO 21 S.PAULO U;5144085;
JARDIM GIANETTI;2073;REGIAO 22 S.PAULO V;8430260;
JARDIM MORENO  ;2073;REGIAO 22 S.PAULO V;8430863;
JARDIM MARIA LU;2039;REGIAO 13 S.PAULO M;5371060;
JARDIM ELISA MA;2036;REGIAO 21 S.PAULO U - RISCO;2873570;
JARDIM BARAO   ;2074;FERRAZ VASCONCELLOS;8542000;
JARDIM RODOLFO ;2065;REGIAO 24 S.PAULO Y;8311360;
VILA NAIR      ;2061;REGIAO 4 SAO PAULO D;4282000;
BARRA VELHA    ;253;ILHABELA;11630324;
JOSE RIBEIRO   ;2291;GARCA;17404526;
LOTEAMENTO RESI;258;PINDAMONHANGABA - B;12402570;
JARDIM RIO BRAN;268;SAO VICENTE;11347080;
JUNDIAPEBA     ;2096;MOGI DAS CRUZES;8750053;
VILA PALMARES  ;2077;SANTO ANDRE A;9061330;
CENTRO         ;2075;POA;8561300;
VILA SANTO ESTE;2060;REGIAO 4 SAO PAULO D;4153040;
INTERLAGOS     ;2055;REGIAO 9 SAO PAULO I (1);4789060;
PARQUE UNIAO   ;2231;BAURU;17063205;
JARDIM DAS PAIN;2292;OURINHOS;19910200;
CIDADE TUPINAMB;2092;GUARULHOS C;7262430;
TERRA PRETA    ;2089;MAIRIPORA;7662140;
PEDREIRA       ;2094;ITAQUAQUECETUBA;8572000;
PARQUE CISPER  ;2095;REGIAO 18 S.PAULO R;3819160;
CASA VERDE ALTA;2023;REGIAO 20 S.PAULO T;2559090;
CIDADE SOBERANA;2091;GUARULHOS B;7161200;
JARDIM ANNY    ;2092;GUARULHOS C;7262260;
JARDIM VILA GAL;2090;GUARULHOS A;7054130;
JARDIM BELA VIS;2032;ITAPEVI;6656090;
MACEDO         ;2091;GUARULHOS B;7197000;
CHACARA SANTO A;2067;REGIAO 15 S.PAULO O;3411000;
CHACARA SANTO A;2067;REGIAO 15 S.PAULO O;3411040;
VILA FEITAL    ;2078;MAUA;9330700;
VILA NOVA MAUA ;2078;MAUA;9390740;
ELDORADO       ;2063;REGIAO 7 SAO PAULO G;4476490;
JARDIM CAROMBE ;2036;REGIAO 21 S.PAULO U - RISCO;2855010;
BRASILANDIA    ;2036;REGIAO 21 S.PAULO U - RISCO;2848010;
VILA CLEMENTINO;2010;REGIAO 5 SAO PAULO E;4026030;
VILA AUREA     ;264;GUARUJA;11454280;
VILA AUREA VICE;264;GUARUJA;11454370;
PARQUE DAS RODO;2204;LORENA;12605465;
CIDADE INDUSTRI;2204;LORENA;12609290;
VL GUARANI     ;267;PEDRO TOLEDO;11790000;
JARDIM COSTA E ;263;CUBATAO;11500410;
TABOAO         ;2081;SAO BERNARDO DO CAMP I;9655000;
VILA OLIMPIA   ;2011;REGIAO 8 SAO PAULO H;4506003;
CENTRO         ;270;JUQUIA;11800000;
CENTRO         ;2291;CANDIDO MOTA;19880043;
CENTRO         ;2096;MOGI DAS CRUZES;8717825;
JARDIM DAS OLIV;2017;ITAPECERICA DA SERRA;6850971;
MAR E CEU      ;264;GUARUJA;11443260;
VILA SONIA     ;266;PRAIA GRANDE;11722330;
ALTO SAO PEDRO;259;TAUBATE;12082800;
CENTRO         ;255;SILVEIRAS;12690000;
SANTA TERESINHA;2023;REGIAO 20 S.PAULO T;2451000;
CASA GRANDE    ;2082;DIADEMA;9963050;
RUDGE RAMOS    ;2081;SAO BERNARDO DO CAMP I;9625060;
PARQUE RESIDENC;0;RIBEIRAO PRETO;14095440;
NUC HAB IVONE A;2217;BIRIGUI;16203186;
ESPLANADA      ;2234;PROMISSÃO;16370000;
JARDIM MONTEIRO;264;GUARUJA;11462540;
JARDIM NOVA CON;2207;TAPIRAI;18182060;
VILA COSTA     ;259;TAUBATE;12050140;
PQ ESPERANCA   ;2030;REGIAO 23 S.PAULO X;5266007;
JARDIM DOS IPES;2099;REGIAO 22 S.PAULO-V I;8161080;
VILA PARAISO   ;2092;GUARULHOS C;7241220;
JARDIM MUNIRA  ;2091;GUARULHOS B;7152730;
VILA RENATO    ;2069;REGIAO 16 S.PAULO P;3979080;
JARDIM VALPARAI;2094;ITAQUAQUECETUBA;8577680;
PARQUE CRUZEIRO;2098;REGIAO 22 S.PAULO V;8070060;
JARDIM DAS OLIV;2099;REGIAO 22 S.PAULO-V I;8111310;
VILA EDE       ;2088;REGIAO 19 S.PAULO S;2202010;
CAPOAVINHA     ;2089;MAIRIPORA;7629156;
JARDIM ANGELINA;2074;FERRAZ VASCONCELLOS;8536550;
JARDIM SYDNEY  ;2036;REGIAO 21 S.PAULO U;2982000;
PARADA         ;2036;REGIAO 21 S.PAULO U;2987030;
PARQUE INDEPEND;2053;REGIAO 10 S.PAULO J (3);5878190;
RIO GRANDE     ;2081;SAO BERNARDO DO CAMP II;9830100;
JARDIM RIO BRAN;268;SAO VICENTE;11347010;
VILA NOSSA SENH;259;TAUBATE;12061020;
RESIDENCIAL MOM;258;PINDAMONHANGABA - B;12425100;
SITIO MORRO GRA;2036;REGIAO 21 S.PAULO U - RISCO;2810000;
JARDIM PAULISTA;2036;REGIAO 21 S.PAULO U - RISCO;2812260;
PARQUE RESIDENC;2054;REGIAO 9 SAO PAULO I (2) - B;4849100;
AVIACAO        ;266;PRAIA GRANDE;11702370;
PARQUE SANTA ED;2231;BAURU;17067410;
SABOO          ;265;SANTOS;11085090;
JD BOA ESPERANC;264;GUARUJA;11471090;
CORREGO DOS PEI;0;BATATAIS;14312126;
BUSSOCABA      ;2022;OSASCO I;6132330;
PARQUE SANTO AN;2217;ANDRADINA;16900070;
JARDIM SANTA MA;0;ARARAQUARA;14808300;
PARQUE INDUSTRI;0;RIBEIRAO PRETO;14075630;
JARDIM SANTO AF;2092;GUARULHOS C;7215180;
VILA PRINCESA I;2073;REGIAO 22 S.PAULO V;8410380;
JARDIM TEMPORIM;2074;FERRAZ VASCONCELLOS;8544200;
JARDIM JOANA D ;2088;REGIAO 19 S.PAULO S;2323410;
VILA RISTORI   ;2090;GUARULHOS A;7021140;
VILA SANTA INES;2095;REGIAO 18 S.PAULO R;3812025;
AGUA ESPRAIADA ;2019;COTIA;6726486;
PARQUE ARARIBA ;2053;REGIAO 10 S.PAULO J (2);5778170;
VILA PIERINA   ;2095;REGIAO 18 S.PAULO R;3733180;
JARDIM NOVA CID;2092;GUARULHOS C;7252555;
JARDIM SAO BENT;2053;REGIAO 10 S.PAULO J (3);5882440;
CID IND SATELIT;2092;GUARULHOS C;7231180;
PARQUE CECAP   ;2091;GUARULHOS B;7190050;
TAIACUPEBA     ;2096;MOGI DAS CRUZES;8765020;
CENTRO;261;JACAREI;12308690;
PARQUE PANAMERI;2036;REGIAO 21 S.PAULO U;2992210;
JARDIM SAO JOAO;2036;REGIAO 21 S.PAULO U;2995170;
JARDIM BONFIGLI;2029;REGIAO 13 S.PAULO M;5594020;
LOTEAMENTO CITY;2036;REGIAO 21 S.PAULO U;2998000;
VILA NOSSA SENH;259;TAUBATE;12060470;
SITIO PAECARA  ;264;GUARUJA;11463150;
VILA ROMAR     ;267;PERUIBE;11771328;
PALMITAL       ;2292;MARILIA;17511360;
SANTA EFIGENIA ;0;OLIMPIA;15405003;
JARDIM BOM CLIM;2091;GUARULHOS B;7122280;
PARQUE VIANA   ;2032;BARUERI;6449015;
VILA NOB       ;2234;PROMISSÃO;16370122;
CENTRO         ;2218;LAVINIA;16850000;
PARQUE INDUSTRI;0;S.JOSE DO RIO PRETO;15025060;
JARDIM DOS PINH;0;VOTUPORANGA;15505246;
JARDIM BICAO   ;0;SAO CARLOS;13575705;
JARDIM SAO JOSE;2078;MAUA;9340710;
JARDIM SANTO AN;2018;EMBU;6835440;
VILA JUNDIAI   ;2096;MOGI DAS CRUZES;8745430;
PARQUE PIRATINI;2094;ITAQUAQUECETUBA;8583390;
JARDIM SELMA   ;2063;REGIAO 7 SAO PAULO G;4431060;
JARDIM PAULISTA;2036;REGIAO 21 S.PAULO U - RISCO;2812220;
CJ RES ELISIO T;2036;REGIAO 21 S.PAULO U - RISCO;2815010;
VILA GUARANI   ;2062;REGIAO 6 SAO PAULO F;4310000;
JARDIM WANDA   ;2020;TABOAO DA SERRA;6765904;
VILA FEITAL    ;2078;MAUA;9330710;
JARDIM SANTO AN;2077;SANTO ANDRE A;9132410;
VILA SILVIA    ;2095;REGIAO 18 S.PAULO R;3820270;
VILA SILVIA    ;2095;REGIAO 18 S.PAULO R;3820110;
JD PINHEIRAL   ;2089;MAIRIPORA;7625015;
JARDIM PAULISTA;2036;REGIAO 21 S.PAULO U - RISCO;2814000;
JARDIM PAULISTA;2036;REGIAO 21 S.PAULO U - RISCO;2812000;
CONCEICAOZINHA ;264;GUARUJA;11472180;
CENTRO         ;270;SETE BARRAS;11910000;
MORRO NOVA CINT;265;SANTOS;11080000;
JARDIM FARINA  ;2081;SAO BERNARDO DO CAMP;9760740;
 JD NOVA CONQUI;2207;TAPIRAI;18180000;
JARDIM PAULISTA;2036;REGIAO 21 S.PAULO U;2814045;
JARDIM SANTO AN;2077;SANTO ANDRE A;9111800;
MOOCA          ;2066;REGIAO 14 S.PAULO N;3107000;
VILA NOVA MAZZE;2088;REGIAO 19 S.PAULO S;2317120;
VILA MARIANA   ;2010;REGIAO 5 SAO PAULO E;4019000;
ITARARE        ;268;SAO VICENTE;11320201;
JARDIM CUMBICA ;2092;GUARULHOS C;7240200;
JARDIM DAS LARA;2023;REGIAO 20 S.PAULO T;2518060;
PARQUE SAO LUCA;2069;REGIAO 16 S.PAULO P;3240055;
ITAIM PAULISTA ;2099;REGIAO 22 S.PAULO-V I;8131330;
VILA NOVA PARAD;2036;REGIAO 21 S.PAULO U - RISCO;2883050;
JARDIM SANTA TE;2073;REGIAO 22 S.PAULO V;8430000;
VILA PAULISTA  ;259;TAUBATE;12031030;
JARDIM BARCELON;2219;PRESIDENTE PRUDENTE;19025790;
CAPAO REDONDO  ;2053;REGIAO 10 S.PAULO J (3);5867390;
CITY BUSSOCABA ;2022;OSASCO;6040470;
PARQUE BOTURUSS;2095;REGIAO 18 S.PAULO R;3804100;
PARQUE SAVOY CI;2068;REGIAO 17 S.PAULO Q;3570100;
JARDIM DAS ACAC;2235;IGARACU DO TIETE;17352470;
VILA SANTA ROSA;2032;JANDIRA;6604270;
CENTRO         ;2207;CONCHAS;18570000;
VILA MARIA     ;0;BATATAIS;14315740;
JARDIM ROSANA  ;2090;GUARULHOS A;7075140;
JARDIM ELISA MA;2036;REGIAO 21 S.PAULO U;2875074;
JD. VENEZA     ;267;PERUIBE;11750000;
ESTANCIA SAO JO;267;PERUIBE;11772760;
JARDIM DOS IPES;2099;REGIAO 22 S.PAULO-V I;8161000;
PARQUE PIRATINI;2094;ITAQUAQUECETUBA;8583690;
CIDADE PARQUE A;2092;GUARULHOS C;7242190;
JARDIM SAO PAUL;2073;REGIAO 22 S.PAULO V;8461650;
JARDIM SAO JOSE;2033;FRANCISCO MORATO;7911020;
PARQUE PINHEIRO;2020;TABOAO DA SERRA;6766290;
PARQUE BOTURUSS;2095;REGIAO 18 S.PAULO R;3805000;
TERRAS DE SAO F;2019;COTIA;6729080;
JARDIM DINKEL I;2234;SAO MANUEL;18652460;
JARDIM VIVENDAS;0;VOTUPORANGA;15506504;
PARQUE BOTURUSS;2095;REGIAO 18 S.PAULO R;3804130;
VILA AUGUSTA   ;2090;GUARULHOS A;7025130;
VILA GENI      ;2094;ITAQUAQUECETUBA;8599180;
VILA BATISTA   ;267;PEDRO TOLEDO;11790000;
BALNEARIO SAO J;267;PERUIBE;11771166;
VILA DO CASTELO;2063;REGIAO 7 SAO PAULO G;4438010;
CAMPOS ELISEOS ;0;RIBEIRAO PRETO;14080280;
VILA CECILIA   ;2096;MOGI DAS CRUZES;8742320;
JARDIM MIRAGAIA;2099;REGIAO 22 S.PAULO-V I;8161310;
JARDIM SYDNEY  ;2036;REGIAO 21 S.PAULO U;2982020;
JARDIM PIRITUBA;2036;REGIAO 21 S.PAULO U - RISCO;2985000;
PIQUERI        ;2036;REGIAO 21 S.PAULO U;2913010;
JARDIM MAGGI   ;2036;REGIAO 21 S.PAULO U;2982150;
HD SIDNEI;2036;REGIAO 21 S.PAULO U;2981040;
JARDIM PAQUETA ;2036;REGIAO 21 S.PAULO U;2952165;
PARQUE BOTURUSS;2095;REGIAO 18 S.PAULO R;3804140;
CID ANTONIO EST;2071;REGIAO 22 S.PAULO V;8226017;
BARRA FUNDA    ;2221;REGENTE FEIJO;19570000;
CENTRO         ;0;UBARANA;15225019;
JARDIM PINHEIRO;0;ARARAQUARA;14811421;
PEDREIRA       ;2094;ITAQUAQUECETUBA;8572000;
CAPOAVINHA     ;2089;MAIRIPORA;7629024;
JARDIM CRISTO R;0;RIBEIRAO PRETO;14063388;
PARQUE RIBEIRAO;0;RIBEIRAO PRETO;14031420;
VILA VILAR     ;2292;OURINHOS;19902630;
CENTRO         ;0;FRANCA;14400520;
JARDIM ROSELAND;0;FRANCA;14405045;
VILA FRANCOS   ;2036;REGIAO 21 S.PAULO U - RISCO;2880030;
REAL PARQUE    ;2012;REGIAO 10 S.PAULO J (1);5685040;
SAMAMBAIA      ;2089;MAIRIPORA;7623045;
VILA MARIA     ;2088;REGIAO 19 S.PAULO S;2123018;
CJ HB VILA NOVA;2023;REGIAO 20 S.PAULO T;2567200;
JARDIM SAO CARL;2098;REGIAO 22 S.PAULO V;8062630;
JARDIM MARILU  ;2036;REGIAO 21 S.PAULO U;2989095;
SITIO DO PIQUER;2088;REGIAO 19 S.PAULO S;2318310;
VILA ISOLINA MA;2088;REGIAO 19 S.PAULO S;2083120;
CJ HB TEOTONIO ;2069;REGIAO 16 S.PAULO P;3928160;
PARQUE SAO JORG;2067;REGIAO 15 S.PAULO O;3086025;
JARDIM COLORADO;2067;REGIAO 15 S.PAULO O;3386040;
JARDIM DOS FRAN;2036;REGIAO 21 S.PAULO U - RISCO;2874060;
NOVA ERA;2034;CAIEIRAS;7724235;
VILA POMPEIA   ;2038;REGIAO 11 S.PAULO K;5024000;
PARQUE RESIDENC;2054;REGIAO 9 SAO PAULO I (2) - B;4849000;
VILA NASCENTE  ;2054;REGIAO 9 SAO PAULO I (2) - B;4846500;
JD NOVA DUMONT ;0;DUMONT;14120000;
NOVA ILHA      ;2217;ILHA SOLTEIRA;15387176;
CHACARA BOA VIS;683;CASA BRANCA;13703320;
JD BELA VISTA  ;0;IBITIUVA;14750000;
CENTRO         ;0;RIOLANDIA;15495000;
JARDIM MORADA D;2221;REGENTE FEIJO;19570000;
JARDIM UMARIZAL;2053;REGIAO 10 S.PAULO J (2);5756350;
JARDIM NOSSA SE;2071;REGIAO 22 S.PAULO V;8270465;
centro         ;2221;SANTO ANASTACIO;19360000;
JARDIM MIRIAM  ;2099;REGIAO 22 S.PAULO-V I;8141004;
PARQUE UIRAPURU;2092;GUARULHOS C;7230370;
ESPLANADA      ;2216;ARACATUBA;16021065;
VILA MAZZEI    ;2088;REGIAO 19 S.PAULO S;2310060;
JARDIM SANTO AN;2094;ITAQUAQUECETUBA;8572480;
JARDIM BELEM   ;2095;REGIAO 18 S.PAULO R;3810110;
JARDIM PANORAMA;2069;REGIAO 16 S.PAULO P;3245110;
VILA ODETE     ;2073;REGIAO 22 S.PAULO V;8440400;
AGUA ESPRAIADA ;2019;COTIA;6726486;
INTERLAGOS     ;2055;REGIAO 9 SAO PAULO I (1);4777000;
UMUARAMA       ;2022;OSASCO;6030016;
CIDADE SOBERANA;2091;GUARULHOS B;7161220;
JARDIM PAULISTA;2036;REGIAO 21 S.PAULO U - RISCO;2814010;
VILA REGENTE FE;2067;REGIAO 15 S.PAULO O;3344000;
JARDIM AURORA  ;2073;REGIAO 22 S.PAULO V;8431170;
AGUA ESPRAIADA ;2019;COTIA;6726486;
JARDIM JOANDRA ;2094;ITAQUAQUECETUBA;8571170;
VILA MONTE BELO;2094;ITAQUAQUECETUBA;8577310;
QUITAUNA       ;2022;OSASCO I;6182140;
JARDIM GUAIANAZ;2073;REGIAO 22 S.PAULO V;8431360;
CJ RESIDENCIAL ;2071;REGIAO 22 S.PAULO V;8255360;
CIDADE TIRADENT;2073;REGIAO 22 S.PAULO V;8470620;
JARDIM NAZARETH;2099;REGIAO 22 S.PAULO-V I;8150590;
VILA FRANCOS   ;2036;REGIAO 21 S.PAULO U;2881030;
BOQUEIRAO      ;266;PRAIA GRANDE;11701370;
CENTRO         ;2231;BAURU;17051060;
CENTRO         ;2081;SAO BERNARDO DO CAMP;9715200;
CENTRO         ;683;DIVINOLANDIA;13780000;
JARDIM ITAMARAT;213;ARARAS;13606752;
CENTRO         ;0;ESTRELA D`OESTE;15650000;
JARDIM CUMBICA ;2092;GUARULHOS C;7240030;
CENTRO         ;2218;SANTO ANTONIO DO ARACANGUA;16130000;
JAGUARE        ;2039;REGIAO 13 S.PAULO M;5330000;
SAO JOSE       ;236;IPORANGA;18330000;
PARQUE RESIDENC;262;SAO JOSE DOS CAMPOS;12246140;
SANTA MARIA    ;2022;OSASCO I;6147060;
LAJEADO        ;2073;REGIAO 22 S.PAULO V;8451140;
JARDIM COTINHA ;2095;REGIAO 18 S.PAULO R;3886010;
PARQUE BOTURUSS;2095;REGIAO 18 S.PAULO R;3803010;
CENTRO         ;270;SETE BARRAS;11910000;
VILA ITAIM     ;2099;REGIAO 22 S.PAULO-V I;8111100;
RESIDENCIAL MAC;0;S.JOSE DO RIO PRETO;15040534;
CJ HAB SANTA ET;2073;REGIAO 22 S.PAULO V;8485445;
VILA IOLANDA   ;2073;REGIAO 22 S.PAULO V;8451580;
JARDIM DAS MARG;2032;JANDIRA;6622180;
JARDIM JOSE JAN;2293;POMPEIA;17584520;
JD NOVO CAJURU ;0;CAJURU;14240000;
VILA EMA       ;2069;REGIAO 16 S.PAULO P;3283020;
VILA FORMOSA   ;2067;REGIAO 15 S.PAULO O;3356001;
VILA MAZZEI    ;2088;REGIAO 19 S.PAULO S;2310010;
VILA MAGINI    ;2078;MAUA;9390195;
JARDIM SANTO AN;2077;SANTO ANDRE A;9240200;
JARDIM VARGINHA;2054;REGIAO 9 SAO PAULO I (2) - B;4856440;
PARQUE MIKAIL  ;2091;GUARULHOS B;7142480;
JARDIM CONCORDI;2095;REGIAO 18 S.PAULO R;3642140;
JARDIM VERA CRU;2014;REGIAO 10 S.PAULO J;4965000;
JARDIM MELIUNAS;2099;REGIAO 22 S.PAULO-V I;8111450;
RECREIO SAO JOR;2091;GUARULHOS B;7144670;
ERMELINO MATARA;2095;REGIAO 18 S.PAULO R;3827000;
JARDIM DOS REIS;2035;FRANCO DA ROCHA;7845130;
JARDIM PERI NOV;2023;REGIAO 20 S.PAULO T 2;2672120;
VILA SOUZA     ;2036;REGIAO 21 S.PAULO U - RISCO;2860030;
PRQ SAO LUIS   ;2036;REGIAO 21 S.PAULO U;2832080;
CENTRO         ;2207;SAO MIGUEL ARCANJO;18230003;
JARDIM AMERICAN;262;SAO JOSE DOS CAMPOS;12225050;
VILA CURUCA    ;2077;SANTO ANDRE A;9291090;
SAO JOSE       ;2080;SAO CAETANO DO SUL;9581040;
JARDIM TIETE   ;2069;REGIAO 16 S.PAULO P;3946000;
ALVARENGA      ;2081;SAO BERNARDO DO CAMP II;9856500;
CENTRO         ;209;VARGEM;12935000;
PARAISOPOLIS   ;2012;REGIAO 10 S.PAULO J (1);5659010;
VILA PALMIRA   ;269;PARIQUERA ACU;11930000;
NUC HABITACIONA;2234;PEDERNEIRAS;17280796;
SUMAREZINHO    ;0;RIBEIRAO PRETO;14051290;
JARDIM MARIM   ;0;VOTUPORANGA;15501007;
CENTRO         ;0;URANIA;15760000;
VILA CARVALHO  ;2216;ARACATUBA;16025245;
RESIDENCIAL ALT;0;SAO LOURENCO TURVO;15996214;
ITAIM PAULISTA ;2099;REGIAO 22 S.PAULO-V I;8140000;
JARDIM LAURA   ;2099;REGIAO 22 S.PAULO-V I;8142235;
VILA CONCEICAO ;2099;REGIAO 22 S.PAULO-V I;8151010;
JD DAS ROSAS I ;0;SERRANA;14150000;
CENTRO         ;0;PIRANGI;15820012;
JARDIM ESTRELA ;2088;REGIAO 19 S.PAULO S;2364750;
JUNDIAPEBA     ;2096;MOGI DAS CRUZES;8750760;
PARQUE SANTOS D;2091;GUARULHOS B;7152270;
RUDGE RAMOS    ;2081;SAO BERNARDO DO CAMP I;9635100;
MUTINGA        ;2022;OSASCO II;6286140;
PARQUE JUREMA  ;2092;GUARULHOS C;7244010;
JARDIM MARINGA ;236;GUARIZINHO (DT ITAPEVA;18407015;
SERRA          ;236;IPORANGA;18330000;
PLANALTO       ;2081;SAO BERNARDO DO CAMP II;9890100;
INDEPENDENCIA  ;2081;SAO BERNARDO DO CAMP II;9861160;
SANTO AMARO    ;2055;REGIAO 9 SAO PAULO I (1);4723001;
JARDIM ANA ROSA;2069;REGIAO 16 S.PAULO P;3287000;
JARDIM BARRA DE;267;PERUIBE;11770462;
JARDIM ELZA    ;2099;REGIAO 22 S.PAULO-V I;8121410;
CIDADE NOVA AME;2054;REGIAO 9 SAO PAULO I (2) - C;4897310;
VILA PARANAGUA ;2095;REGIAO 18 S.PAULO R;3807330;
PRQ DIRCE      ;2094;ITAQUAQUECETUBA;8595290;
JARDIM IPE     ;2053;REGIAO 10 S.PAULO J (2);5797260;
JARDIM PINHEIRO;2037;REGIAO 21 S.PAULO U;5138240;
JARDIM LEOPOLDI;2028;CARAPICUIBA;6382150;
JARDIM ESTORIL ;2231;BAURU;17014280;
JARDIM SAO MIGU;2019;COTIA;6719300;
PARQUE ESPLANAD;2018;EMBU;6817180;
CIDADE NOVA PER;267;PERUIBE;11772150;
JARDIM PANTANAL;2099;REGIAO 22 S.PAULO-V I;8180680;
CJ HABITACIONAL;0;S.JOSE DO RIO PRETO;15076520;
VILA SAO FRANCI;2095;REGIAO 18 S.PAULO R;3678000;
JARDIM IBIRAPUE;2053;REGIAO 10 S.PAULO J (3);5814220;
PIRATININGA    ;2022;OSASCO II;6236410;
JARDIM ALVORADA;0;BEBEDOURO;14706240;
JARDIM ALBERTIN;2092;GUARULHOS C;7243380;
PARADA INGLESA ;2088;REGIAO 19 S.PAULO S;2242001;
VILA INDUSTRIAL;2069;REGIAO 16 S.PAULO P;3251050;
JARDIM MARILIA ;2068;REGIAO 17 S.PAULO Q;3579270;
JARDIM PILAR   ;236;GUARIZINHO (DT ITAPEVA;18407280;
MONTANHAO      ;2081;SAO BERNARDO DO CAMP;9784115;
PLANALTO       ;2081;SAO BERNARDO DO CAMP II;9896260;
VILA IOLANDA   ;2073;REGIAO 22 S.PAULO V;8451100;
CID ANTONIO EST;2071;REGIAO 22 S.PAULO V;8226011;
BELENZINHO     ;2066;REGIAO 14 S.PAULO N;3059001;
VILA CARRAO    ;2067;REGIAO 15 S.PAULO O;3422001;
JARDIM ARIZONA ;2095;REGIAO 18 S.PAULO R;3735210;
VILA CURUCA    ;2098;REGIAO 22 S.PAULO V;8030120;
PARQUE PIRATINI;2094;ITAQUAQUECETUBA;8583680;
JARDIM COCAIA  ;2091;GUARULHOS B;7130130;
SANTA JULIA    ;0;OLIMPIA;15402075;
CJ RESIDENCIAL ;2232;BOTUCATU;18610130;
JARDIM BRASILIA;2036;REGIAO 21 S.PAULO U - RISCO;2858010;
JARDIM DA PEDRE;2063;REGIAO 7 SAO PAULO G;4462040;
JARDIM ALTOS DE;262;SAO JOSE DOS CAMPOS;12214000;
VILA RESENDE;252;CACAPAVA;12282330;
VILA NOVA BONSU;2091;GUARULHOS B;7176361;
ESTANCIA DOS EU;267;PERUIBE;11783296;
SITIO PAECARA  ;264;GUARUJA;11461300;
BALNEARIO JOSED;267;PERUIBE;11775110;
JARDIM PAULISTA;2036;REGIAO 21 S.PAULO U - RISCO;2814090;
SAO CAETANINHO ;2079;RIBEIRAO PIRES;9404460;
PARADA XV DE NO;2071;REGIAO 22 S.PAULO V;8246000;
PADROEIRA      ;2022;OSASCO I;6162090;
JARDIM PAULISTA;2036;REGIAO 21 S.PAULO U - RISCO;2813020;
JARDIM PAULISTA;2036;REGIAO 21 S.PAULO U - RISCO;2813000;
JARDIM CAMPOS  ;2099;REGIAO 22 S.PAULO-V I;8151602;
VILA NOVA MAUA ;2078;MAUA;9390740;
BOUGAINVILLE RE;267;PERUIBE;11773274;
JARDIM CASTANHA;2091;GUARULHOS B;7182310;
VILA NOVA PARAD;2036;REGIAO 21 S.PAULO U - RISCO;2883050;
VILA OMAR      ;210;AMERICANA;13469097;
