;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Bairro;Rota;Setor;Cep Destinatário;
SEPETIBA       ;2690;RIO DE JANEIRO-GUARATIBA/SEPETIBA;23547020;
QUINTINO BOCAIU;2780;RIO DE JANEIRO 2780;20740070;
TOMAZINHO      ;2703;S.JOAO DE MERITI P.A. REG B;25530230;
RAMOS          ;2781;RIO DE JANEIRO;21040114;
MEUDOM         ;201;TERESOPOLIS;25954210;
ROCHA SOBRINHO ;239;MESQUITA;26572510;
FIGUEIRAS      ;238;NOVA IGUACU;26060740;
ENGENHO NOVO   ;2780;RIO DE JANEIRO 2780;20950310;
PARQUE MAMBUCAB;249;ANGRA DOS REIS (PEREQUE);23954260;
TRAVESSAO      ;191;CAMPOS DOS GOYTACAZES - C;28175000;
SANTA CRUZ     ;2690;RIO DE JANEIRO-SANTA CRUZ;23520660;
CALIFORNIA DA B;245;BARRA DO PIRAI;27163000;
JARDIM SANTO AN;202;MACAE;27945060;
SURUI          ;2704;SURUI;25925720;
PARQUE DUQUE   ;2701;DUQUE DE CAXIAS;25085135;
JARDINS        ;240;SEROPEDICA;23890040;
VISTA ALEGRE   ;2781;RIO DE JANEIRO;21250391;
CENTRO         ;183;RIO DE JANEIRO REG. TIJUCA;20230250;
CENTRO         ;238;NOVA IGUACU;26215030;
ITANHANGA      ;243;RIO DE JANEIRO REG.P;22753200;
JOAO CAETANO   ;195;ITAMBI;24866568;
BARRA NOVA     ;192;SAQUAREMA;28990206;
SAO CRISTOVAO  ;2780;RIO DE JANEIRO 2780;20920203;
SANTA CRUZ     ;2690;RIO DE JANEIRO-SANTA CRUZ;23590480;
SAO CRISTOVAO  ;2780;RIO DE JANEIRO 2780;20941290;
CATUMBI        ;183;RIO DE JANEIRO REG. TIJUCA;20211320;
CAMPO GRANDE   ;2690;RIO DE JANEIRO-CAMPO GRANDE/SENADOR VASCONCELOS;23075007;
PAU GRANDE     ;2704;INHOMIRIM;25935000;
FONSECA        ;193;NITEROI;24120000;
JARDIM PALMARES;238;NOVA IGUACU;26277605;
GARDENIA AZUL  ;243;RIO DE JANEIRO REG.P;22765660;
TAQUARA        ;243;RIO DE JANEIRO REG.P;22710570;
FRAGOSO        ;2704;INHOMIRIM;25935482;
CIDADE HORACIO ;2704;MAGE;25931606;
CENTRO         ;191;STO ANTONIO DE PADUA;28470000;
TAQUARA        ;243;RIO DE JANEIRO REG.P;22710074;
AGUA SANTA     ;249;ANGRA DOS REIS;23915505;
CAMPO GRANDE   ;2690;RIO DE JANEIRO-CAMPO GRANDE/SENADOR VASCONCELOS;23075610;
PAU GRANDE     ;2704;INHOMIRIM;25935000;
FREI FABIANO   ;2702;BELFORD ROXO;26185046;
GALO BRANCO    ;195;SAO GONCALO;24422020;
ICARAI         ;193;NITEROI;24230210;
JARDIM MANCHETE;247;ITATIAIA;27580000;
INHAUMA        ;2781;RIO DE JANEIRO;21061480;
PILARES        ;2780;RIO DE JANEIRO 2780;20755000;
ROCINHA        ;242;RIO DE JANEIRO REG.C;22451450;
SANTA CRUZ     ;2690;RIO DE JANEIRO-SANTA CRUZ;23525002;
VENDA NOVA     ;201;TERESOPOLIS INT;25977400;
VILA DA PAZ    ;191;NATIVIDADE;28380000;
EUCALIPTAL     ;244;VOLTA REDONDA;27264020;
PRACA SECA     ;2782;RIO DE JANEIRO REG.D;21321234;
METROPOLE      ;238;NOVA IGUACU;26215230;
CHATUBA        ;99239;CHATUBA (DIST. MESQUITA);26587780;
PECHINCHA      ;243;RIO DE JANEIRO REG.P;22770480;
ANIL           ;243;RIO DE JANEIRO REG.P;22753380;
NOVA CAMPINAS  ;2701;DUQUE DE CAXIAS REG A;25268260;
BARRA DE SAO JO;194;CASIMIRO DE ABREU;28860000;
LARGO DA BATALH;193;NITEROI;24315212;
CACUIA         ;238;NOVA IGUACU;26082120;
JD BRASILIA    ;247;RESENDE;27514080;
MORRO DA CRUZ  ;249;JACUECANGA;23905010;
JARDIM GUANABAR;248;BARRA MANSA;27336050;
RECANTUS       ;2702;BELFORD ROXO;26157337;
INHAUMA        ;2780;RIO DE JANEIRO 2780;20765050;
SANTA MARIA    ;2702;BELFORD ROXO;26165361;
PARQUE MUCAJA  ;240;JAPERI;26425070;
CENTRO         ;195;SAO GONCALO;24465050;
MORADA VERDE   ;248;BARRA MANSA;27350480;
CAMPO GRANDE   ;2690;RIO DE JANEIRO-CAMPO GRANDE/SENADOR VASCONCELOS;23016415;
VILA SAO LUIS  ;2701;DUQUE DE CAXIAS;25086110;
PITEIRAS       ;248;BARRA MANSA;27331380;
MEIER          ;2780;RIO DE JANEIRO 2780;20720012;
SANTA TERESA   ;183;RIO DE JANEIRO REG. TIJUCA;20251130;
ROMA           ;244;VOLTA REDONDA;27257825;
ITAOCA         ;195;SAO GONCALO;24471380;
PARQUE TELES DE;2703;S.JOAO DE MERITI P.A. REG B;25581152;
MIGUEL COUTO   ;238;NOVA IGUACU;26061480;
VALVERDE       ;246;NOVA IGUACU CG;26290666;
TANQUE         ;243;RIO DE JANEIRO REG.P;22730270;
TANQUE         ;243;RIO DE JANEIRO REG.P;22725000;
VILA GUANABARA ;2701;DUQUE DE CAXIAS;25080260;
VILA LAGE      ;195;SAO GONCALO;24415000;
PITA           ;195;SAO GONCALO;24412000;
VILA MAGNOLIA  ;247;ITATIAIA;27580000;
BANGU          ;2694;RIO DE JANEIRO BANGU/REALENGO;21842780;
ENGENHO DO MATO;193;NITEROI;24344561;
JARDIM CATARINA;195;SAO GONCALO;24717570;
VILA SANTO ANTO;2701;DUQUE DE CAXIAS;25042320;
JARDIM VILA NOV;2701;DUQUE DE CAXIAS;25045320;
CHATUBA        ;239;MESQUITA;26585020;
PIEDADE        ;2780;RIO DE JANEIRO 2780;20740180;
CURICICA       ;243;RIO DE JANEIRO REG.P;22780793;
REALENGO       ;2694;RIO DE JANEIRO BANGU/REALENGO;21730205;
MUTIR+O        ;240;PARACAMBI;26600000;
MORRO DO COCO  ;191;CAMPOS DOS GOYTACAZES - C;28178000;
RIO DO LIMAO   ;192;ARARUAMA;28981275;
JD CATARINA    ;195;SAO GONCALO;24716110;
JARDIM METROPOL;2703;S.JOAO DE MERITI P.A. REG B;25575414;
PRAIA DO IMPERA;2704;MAGE;25926390;
ROCINHA        ;242;RIO DE JANEIRO REG.C;22451265;
